description,crop,status,disease,recommended_pesticide,image_path
Farmer complains: moderate Plants show no signs of stress or pests. extensive Tuber development appears uniform and healthy. notable No signs of wilting or discoloration.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: slight Tuber development appears uniform and healthy.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: visible Stems appear firm and upright. rapid No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: visible Fruits develop firm dark lesions with greasy texture. extensive Fruit rot occurs quickly after infection.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\e5b50c59-e517-4dcc-8887-8bd2ca748329___GHLB2ES Leaf 142.jpg
Farmer complains: clear Growth appears vigorous and steady. sudden Plants maintain strong upright growth. sudden Stems are firm and unblemished.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: rapid Fruits develop firm dark lesions with greasy texture. sudden White mold may appear on leaf undersides. clear Leaves collapse suddenly without warning.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\5de6da85-f8c4-48c4-b463-3e6bd78884cc___GHLB_PS Leaf 24 Day 16.jpg
Agronomist notes: severe Stems appear firm and upright. slight Leaves look vibrant green with a smooth texture. moderate Fruit set appears normal and healthy.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: severe Overall growth is steady and balanced.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Agronomist notes: clear New leaves become infected almost overnight. visible Blight odor is noticeable in severe infections. sudden Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\eb816984-283e-4a3b-846d-9bf24b1cce8d___GHLB_PS Leaf 37.2 Day 13.jpg
According to the grower: sporadic Stems show brown streaks near soil level.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\5600518d-5a2d-4155-a53b-cad312d7fbb1___GHLB_PS Leaf 26 Day 13.jpg
Inspection reveals: extensive Plants appear free from any pests or diseases. sudden Leaves look lush green with a glossy surface. sudden Overall growth is steady and balanced.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: extensive Leaves look vibrant green with a smooth texture. sporadic Plant canopy is full and evenly spaced. severe Fruit set appears normal and healthy.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: clear Infected areas emit a musty odor. slight Fruit rot occurs quickly after infection.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\3db1a347-001b-4170-8f64-4fa097f83bc7___GHLB_PS Leaf 1.2 Day 8.jpg
"Farmer reports: severe Stems show brown streaks near soil level. sporadic Infected tubers show dark, firm patches beneath the skin.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\037c55c7-6e33-4b8d-af05-4d555f4e658e___GHLB_PS Leaf 42.1 Day 18.jpg
Visual check indicates: visible Fruits develop evenly with no blemishes.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
sudden Leaves are lush green with no visible spots.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: moderate Plants maintain strong upright growth. visible Plants show no signs of stress or pests. rapid No unusual odor detected in the field.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: visible White mold may appear on leaf undersides. slight Fruits develop firm dark lesions with greasy texture.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\ce3f895d-e031-4ed9-ac40-7f6550894bff___GHLB_PS Leaf 52.1 Day 18.jpg
Agronomist notes: sudden Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\cb11b3a4-a1f5-43a2-a7ff-399d7674b708___GHLB_PS Leaf 2.2 Day 18.jpg
Farmer complains: moderate Leaves become limp and collapse suddenly. sporadic Edges of lesions appear water-soaked and greasy.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\7b343a4c-5fbc-40f6-83da-ccae49ebd5fb___GHLB_PS Leaf 35 Day 13.jpg
Field observation shows: clear Fruit set appears normal and healthy. rapid Fruits develop bright color and firm walls. clear No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: extensive Infected areas emit a musty odor. extensive Fruits develop firm dark lesions with greasy texture. sporadic Whole plants may wilt overnight.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\28e858c2-03ac-423c-8e0c-72e38a5634d9___GHLB_PS Leaf 2.2 Day 13.jpg
Farmer complains: moderate Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: visible Plants appear free from any pests or diseases.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: severe Edges of lesions appear water-soaked and greasy. rapid Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\1bfebfc9-3eda-4889-bdb1-75a8929a1b4f___GHLB_PS Leaf 48 Day 18.jpg
notable Fruit set appears normal and healthy. moderate Plant canopy is full and evenly spaced. slight No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: rapid Plants appear free from any pests or diseases. severe Leaves look lush green with a glossy surface. slight Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: severe Surfaces remain free of lesions or mold.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: slight New leaves become infected almost overnight.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\736cd652-e63d-4b01-a3c6-6859bc095fb9___GHLB_PS Leaf 39 Day 16.jpg
Field observation shows: moderate Tuber development appears uniform and healthy.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: notable Plant canopy is full and evenly spaced. clear Leaves look vibrant green with a smooth texture. clear Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: clear Overall growth is steady and balanced.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: slight Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: severe Stems turn brown and brittle. extensive Fruits develop firm dark lesions with greasy texture. sporadic Leaves collapse suddenly without warning.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\a5ef7726-d20f-4109-985f-7fc8989e4aa5___GHLB_PS Leaf 2.2 Day 8.jpg
Field observation shows: visible Infected areas emit a musty odor. visible Whole plants may wilt overnight. sudden Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\860b6c56-686a-4f21-8ae3-d7e45acd760b___GHLB_PS Leaf 25 Day 16.jpg
Agronomist notes: sporadic No unusual odor detected in the field. sudden Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Farmer complains: clear Leaves collapse suddenly without warning. sporadic Stems turn brown and brittle. extensive Cool, moist weather promotes rapid spread.",Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\de8d11a4-24da-489d-9c88-0d7cf5344cdc___GHLB_PS Leaf 2.3 Day 16.jpg
"Field observation shows: clear Lesions spread quickly under cool, wet weather.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\d0badc95-d04c-457b-8db8-aa6e198f4bd6___GHLB Leaf 10 Day 6.jpeg
"According to the grower: sudden Lesions spread quickly under cool, wet weather. severe Edges of lesions appear water-soaked and greasy.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\452dfdfb-298d-4c0c-b500-0c480eea587d___GHLB_PS Leaf 40 Day 18.jpg
According to the grower: clear Healthy foliage covers the soil evenly. severe No signs of wilting or discoloration. sudden Plants maintain strong upright growth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: visible Plants appear free from any pests or diseases.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: extensive Edges of lesions appear water-soaked and greasy. sporadic Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\d2ef0edd-4a4f-4245-85a8-34309ef9ef71___GHLB_PS Leaf 46.1 Day 18.jpg
visible Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: moderate Large irregular brown patches appear on leaves. rapid Stems turn brown and brittle. visible Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\674de9c3-1e13-46e2-9d5d-f75f97cff552___GHLB_PS Leaf 1 Day 18.jpg
Inspection reveals: notable No unusual odor detected in the field.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: slight Leaves look lush green with a glossy surface. slight Fruit clusters are well-formed. visible Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: moderate No unusual odor detected in the field. extensive Leaves are lush green with no visible spots.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: rapid Plants show no signs of stress or pests. moderate Stems are firm and unblemished.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: visible Leaves collapse suddenly without warning.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\f843c76c-a7d4-4031-abe2-9245602fbb15___GHLB_PS Leaf 49.1 Day 18.jpg
notable White fungal growth may appear under humid conditions. visible Edges of lesions appear water-soaked and greasy. sudden New leaves become infected almost overnight.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\1cb5d336-3649-49bf-aa9a-72950067b8b0___GHLB_PS Leaf 12 Day 9.jpg
Agronomist notes: sudden Leaves look lush green with a glossy surface. visible Plant stands tall and vigorous. visible Fruit clusters are well-formed.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: extensive White fungal growth may appear under humid conditions. extensive Edges of lesions appear water-soaked and greasy. moderate Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\a59f35a2-f548-4e6f-8784-c106af003c33___GHLB_PS Leaf 25.1 Day 16.jpg
Agronomist notes: sudden Plants show no signs of stress or pests.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: sudden No visible blemishes on leaves or stems. visible Plant canopy is full and evenly spaced. moderate Stems appear firm and upright.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: visible Large irregular brown patches appear on leaves. slight Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\e55af4aa-1f1c-4300-86ca-bdcff04bef80___GHLB_PS Leaf 2 Day 9.jpg
sudden Flowers appear healthy and plentiful. visible Leaves look lush green with a glossy surface.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: moderate New leaves become infected almost overnight. severe Leaves become limp and collapse suddenly. slight Stems show brown streaks near soil level.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\cb11b3a4-a1f5-43a2-a7ff-399d7674b708___GHLB_PS Leaf 2.2 Day 18.jpg
notable Surfaces remain free of lesions or mold.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: sudden Stems remain firm and robust. extensive No spots or discoloration on leaves.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: clear Stems appear firm and upright.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
moderate Stems appear firm and upright. moderate Fruits develop bright color and firm walls. notable Leaves look vibrant green with a smooth texture.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: extensive Fruit clusters are well-formed.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: clear Leaf edges remain intact and smooth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: visible No unusual wilting or curling of leaves. visible Fruits develop bright color and firm walls. visible Surfaces remain free of lesions or mold.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Agronomist notes: clear Plants appear free from any pests or diseases.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
moderate Fruits develop bright color and firm walls. sporadic Leaves look vibrant green with a smooth texture. clear Plant canopy is full and evenly spaced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
sporadic Plants appear free from any pests or diseases. clear Leaves look lush green with a glossy surface. sporadic Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: sudden Growth appears vigorous and steady.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: moderate No spots or discoloration on leaves.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
notable Leaves look vibrant green with a smooth texture.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: slight White mold may appear on leaf undersides.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\c3459ef4-41aa-415d-9941-e3fbdac87f20___GHLB_PS Leaf 8 Day 13.jpg
Field observation shows: notable Leaf edges remain intact and smooth.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: slight Stems turn brown and brittle. sudden White mold may appear on leaf undersides. rapid Whole plants may wilt overnight.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\ac205c4a-58c5-430f-8b4c-f853652df749___GHLB_PS Leaf 30 Day 13.jpg
Agronomist notes: clear Overall growth is steady and balanced. clear Plant stands tall and vigorous.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: severe Leaves collapse suddenly without warning. severe Whole plants may wilt overnight. slight Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\de2e16e8-b372-4d2e-ab3b-30b21c30faa7___GHLB_PS Leaf 1.5 Day 18.jpg
"According to the grower: moderate Lesions spread quickly under cool, wet weather.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\c1114ce7-8c10-4854-8c07-66b3500ae853___GHLB_PS Leaf 8 Day 7.jpg
Visual check indicates: notable Fruits develop bright color and firm walls. severe Plant canopy is full and evenly spaced.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: extensive Plants maintain strong upright growth. moderate Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: visible Leaves are lush green with no visible spots.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
moderate Plant canopy is full and evenly spaced. moderate Fruits develop bright color and firm walls. extensive Overall appearance is robust and lush.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: slight No unusual odor detected in the field. slight Healthy foliage covers the soil evenly. sporadic Tuber development appears uniform and healthy.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
"Farmer reports: notable Infected areas emit a musty odor. severe Stems turn brown and brittle. extensive Cool, moist weather promotes rapid spread.",Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\736cd652-e63d-4b01-a3c6-6859bc095fb9___GHLB_PS Leaf 39 Day 16.jpg
Field observation shows: extensive Leaves look vibrant green with a smooth texture.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: sudden Leaves become limp and collapse suddenly. visible Whole fields can appear scorched and dead.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\12125c80-42e3-4970-bb92-524262c337fa___GHLB_PS Leaf 8.1 Day 7.jpg
According to the grower: visible Stems turn brown and brittle. notable Large irregular brown patches appear on leaves.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\9ed83599-49d6-479c-a69b-a133d9aee606___GHLB_PS Leaf 1.3 Day 13.jpg
Farmer reports: visible Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: moderate Fruit rot occurs quickly after infection.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\a59f35a2-f548-4e6f-8784-c106af003c33___GHLB_PS Leaf 25.1 Day 16.jpg
Farmer reports: sporadic Fruit clusters are well-formed. notable Flowers appear healthy and plentiful.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: visible Fruit rot occurs quickly after infection.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\4b115bc3-911c-4e98-b948-a6a360f06a87___GHLB_PS Leaf 25 Day 9.jpg
sudden No signs of wilting or discoloration.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: rapid Infected areas emit a musty odor. clear White mold may appear on leaf undersides. severe Large irregular brown patches appear on leaves.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\1cb5d336-3649-49bf-aa9a-72950067b8b0___GHLB_PS Leaf 12 Day 9.jpg
Farmer complains: sporadic Plant canopy is full and evenly spaced. notable Surfaces remain free of lesions or mold. extensive Leaves look vibrant green with a smooth texture.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: severe Edges of lesions appear water-soaked and greasy.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\c933cfb7-d1c7-420b-88d0-7df28ae6ab2d___GHLB_PS Leaf 36.1 Day 13.jpg
Agronomist notes: moderate White mold may appear on leaf undersides. clear Fruits develop firm dark lesions with greasy texture.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\ed974f5b-e999-46a9-9e22-da51da2766b6___GHLB_PS Leaf 8 Day 16.jpg
According to the grower: slight Plant stands tall and vigorous.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: moderate Plants show no signs of stress or pests. sudden No unusual odor detected in the field.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
rapid Leaf edges remain intact and smooth. sudden Stems are firm and unblemished. notable Growth appears vigorous and steady.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
sporadic Fruits develop evenly with no blemishes. sporadic Leaves look lush green with a glossy surface. rapid Plant stands tall and vigorous.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Visual check indicates: severe Leaves look lush green with a glossy surface. slight Stems remain firm and robust. extensive Plant stands tall and vigorous.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
According to the grower: moderate Stems remain firm and robust.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Inspection reveals: sudden Large brown blotches develop rapidly on leaves.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\d84f5ea2-462a-40e2-8b01-916a65588aaf___GHLB_PS Leaf 22 Day 9.jpg
Field observation shows: visible Leaves become limp and collapse suddenly. sporadic Stems show brown streaks near soil level.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\98586693-fe1f-4ea0-8e27-4501b61cf09b___GHLB_PS Leaf 23.5 Day 13.jpg
"According to the grower: moderate Whole fields can appear scorched and dead. sporadic Lesions spread quickly under cool, wet weather. rapid Large brown blotches develop rapidly on leaves.",Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\e5b50c59-e517-4dcc-8887-8bd2ca748329___GHLB2ES Leaf 142.jpg
Farmer complains: clear Infected areas emit a musty odor. moderate Stems turn brown and brittle.,Tomato,Unhealthy,Late_blight,Neem oil,data2/plantvillage\Tomato_Late_blight\1bfebfc9-3eda-4889-bdb1-75a8929a1b4f___GHLB_PS Leaf 48 Day 18.jpg
Inspection reveals: clear Plants show no signs of stress or pests. extensive Healthy foliage covers the soil evenly.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Field observation shows: extensive Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray,data2/plantvillage\Tomato_Late_blight\e8c3e15e-99ae-4c47-9d27-4d94c2b96e8a___GHLB_PS Leaf 26.3 Day 13.jpg
Inspection reveals: clear Plants appear free from any pests or diseases. extensive Stems remain firm and robust. notable No spots or discoloration on leaves.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: visible Fruits develop bright color and firm walls. slight No visible blemishes on leaves or stems. moderate Stems appear firm and upright.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer reports: sporadic Plants appear free from any pests or diseases. extensive No sign of curling or wilting.,Tomato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
sporadic Stems are firm and unblemished.,Potato,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
Farmer complains: notable No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,,data2/plantvillage\Tomato_healthy\7de93009-6180-4027-8779-76947cda3e2f___2700323949_95aa2eaa01_o.jpg
