disease,clean_description,recommended_pesticide
Tomato_mosaic_virus,field observation show slight fruit develop uneven ripening,Biological predators
healthy,agronomist note clear plant appear free pest disease,No pesticide needed
Tomato_mosaic_virus,farmer complains sudden virus spread easily plant contact sporadic growth appears stunted twisted visible symptom worsen high light condition,Biological predators
Bacterial_spot,according grower clear bacterial ooze may visible moist condition slight warm wet weather increase disease spread clear new growth appears stunted distorted,Biological predators
healthy,moderate fruit develop bright color firm wall sporadic leaf look vibrant green smooth texture clear plant canopy full evenly spaced,No pesticide needed
healthy,sporadic plant appear free pest disease clear leaf look lush green glossy surface sporadic stem remain firm robust,No pesticide needed
healthy,inspection reveals sudden growth appears vigorous steady,No pesticide needed
healthy,according grower moderate spot discoloration leaf,No pesticide needed
healthy,notable leaf look vibrant green smooth texture,No pesticide needed
Late_blight,farmer report slight white mold may appear leaf underside,Neem oil
Septoria_leaf_spot,agronomist note clear spot increase rapidly wet condition slight tiny dark speck appear pale center,Neem oil
Septoria_leaf_spot,rapid tiny dark speck appear pale center visible stem remain largely unaffected,Neem oil
Leaf_Mold,farmer report rapid plant growth slows noticeably,Sulfur spray
Spider_mites_Two_spotted_spider_mite,extensive fruit development may stunted slight leaf appear stippled pale spot sporadic infestation begin lower leaf,Sulfur spray
Leaf_Mold,agronomist note extensive leaf curl become brittle,Sulfur spray
healthy,field observation show notable leaf edge remain intact smooth,No pesticide needed
Spider_mites_Two_spotted_spider_mite,visual check indicates notable fine yellow dust may visible foliage extensive leaf turn bronze curl extensive leaf appear stippled pale spot,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,farmer report moderate young leaf curl upward turn yellow,Horticultural oil
Late_blight,inspection reveals slight stem turn brown brittle sudden white mold may appear leaf underside rapid whole plant may wilt overnight,Neem oil
healthy,agronomist note clear overall growth steady balanced clear plant stand tall vigorous,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,according grower sudden leaf appear crumpled thickened sporadic internode shorten dramatically sudden growth becomes stunted bushy,Horticultural oil
Late_blight,farmer report severe leaf collapse suddenly without warning severe whole plant may wilt overnight slight edge lesion look watersoaked,Neem oil
Tomato_YellowLeaf_Curl_Virus,farmer report slight internode shorten dramatically visible growth becomes stunted bushy sudden virus spread via whitefly rapidly,Horticultural oil
Early_blight,farmer report sudden fruit develop sunken leathery patch,Horticultural oil
Spider_mites_Two_spotted_spider_mite,slight leaf appear stippled pale spot clear plant vigor decline noticeably extensive leaf surface feel dry rough,Sulfur spray
Early_blight,inspection reveals slight yellowing appears around brown lesion clear dark concentric ring form lower leaf,Horticultural oil
Late_blight,according grower moderate lesion spread quickly cool wet weather,Sulfur spray
healthy,visual check indicates notable fruit develop bright color firm wall severe plant canopy full evenly spaced,No pesticide needed
Target_Spot,moderate affected area appear sunken dry,Bacillus subtilis
Septoria_leaf_spot,clear severe infection reduce fruit yield severe plant look generally stressed clear leaf become thin sparse,Neem oil
Bacterial_spot,farmer report rapid spot may merge larger dead zone,Sulfur spray
Bacterial_spot,agronomist note sudden lesion become raised scabby fruit slight warm weather accelerates disease spread,Sulfur spray
healthy,inspection reveals extensive plant maintain strong upright growth moderate healthy foliage cover soil evenly,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,severe growth becomes stunted bushy sudden young leaf curl upward turn yellow slight overall plant appears dwarfed,Horticultural oil
Tomato_mosaic_virus,inspection reveals extensive fruit show irregular color pattern visible growth appears stunted twisted,Biological predators
Septoria_leaf_spot,clear spot increase rapidly wet condition sudden lower leaf drop early season clear yellow halo surround small lesion,Neem oil
Bacterial_spot,farmer report notable plant growth becomes stunted uneven sudden tiny dark speck appear young leaf,Sulfur spray
Septoria_leaf_spot,farmer complains extensive yellow halo surround small lesion notable severe infection reduce fruit yield rapid leaf become thin sparse,Neem oil
healthy,farmer report visible leaf lush green visible spot,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,agronomist note extensive flower often drop without fruit setting,Horticultural oil
healthy,moderate plant canopy full evenly spaced moderate fruit develop bright color firm wall extensive overall appearance robust lush,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,farmer report moderate growth becomes stunted bushy visible young leaf curl upward turn yellow sudden fruit production decrease sharply,Horticultural oil
Early_blight,farmer report visible small dark spot develop concentric ring moderate lesion enlarge warm humid weather extensive brown patch coalesce larger necrotic area,Neem oil
Bacterial_spot,agronomist note sudden infected fruit appears pitted rough slight lesion become raised scabby fruit,Sulfur spray
healthy,farmer report slight unusual odor detected field slight healthy foliage cover soil evenly sporadic tuber development appears uniform healthy,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,inspection reveals clear leaf edge show bright yellow coloring moderate virus spread via whitefly rapidly,Horticultural oil
Early_blight,field observation show sudden lower leaf drop prematurely stress slight older leaf first show symptom clear severe case cause significant leaf loss,Neem oil
Late_blight,farmer report notable infected area emit musty odor severe stem turn brown brittle extensive cool moist weather promotes rapid spread,Neem oil
Spider_mites_Two_spotted_spider_mite,farmer complains clear plant vigor decline noticeably slight leaf turn bronze curl clear infested leaf drop prematurely,Sulfur spray
healthy,field observation show extensive leaf look vibrant green smooth texture,No pesticide needed
Spider_mites_Two_spotted_spider_mite,field observation show slight infested leaf drop prematurely rapid infestation begin lower leaf,Sulfur spray
Early_blight,farmer report extensive brown patch coalesce larger necrotic area rapid small dark spot develop concentric ring,Neem oil
Early_blight,agronomist note moderate small dark spot develop concentric ring rapid lower leaf drop prematurely stress,Neem oil
Septoria_leaf_spot,field observation show rapid tiny dark speck appear pale center moderate spot increase rapidly wet condition moderate growth appears patchy across field,Neem oil
Septoria_leaf_spot,according grower sudden stem remain largely unaffected notable spot remain le ⅛ inch diameter,Neem oil
Spider_mites_Two_spotted_spider_mite,farmer complains clear fine yellow dust may visible foliage,Sulfur spray
Late_blight,inspection reveals sudden leaf become limp collapse suddenly visible whole field appear scorched dead,Sulfur spray
Spider_mites_Two_spotted_spider_mite,inspection reveals sporadic infested leaf drop prematurely moderate mite thrive hot dry condition,Sulfur spray
Late_blight,according grower visible stem turn brown brittle notable large irregular brown patch appear leaf,Neem oil
healthy,farmer report visible healthy foliage cover soil evenly,No pesticide needed
Leaf_Mold,agronomist note extensive leaf curl become brittle sporadic fruit development may reduced,Sulfur spray
Late_blight,according grower moderate fruit rot occurs quickly infection,Neem oil
Spider_mites_Two_spotted_spider_mite,according grower sporadic mite thrive hot dry condition slight plant vigor decline noticeably,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,farmer report sudden internode shorten dramatically sporadic leaf appear crumpled thickened moderate overall plant appears dwarfed,Horticultural oil
Early_blight,visual check indicates visible lesion enlarge warm humid weather,Neem oil
Tomato_YellowLeaf_Curl_Virus,farmer complains visible leaf appear crumpled thickened,Horticultural oil
Bacterial_spot,farmer complains notable lesion become angular watersoaked severe new growth appears stunted distorted,Biological predators
healthy,farmer report sporadic fruit cluster wellformed notable flower appear healthy plentiful,No pesticide needed
Spider_mites_Two_spotted_spider_mite,agronomist note extensive fruit development may stunted slight fine yellow dust may visible foliage moderate leaf surface feel dry rough,Sulfur spray
Target_Spot,sudden fruit show dark speck near stem end,Bacillus subtilis
Bacterial_spot,according grower visible tiny dark speck appear young leaf extensive leaf edge become ragged torn sporadic lesion become raised scabby fruit,Sulfur spray
Late_blight,inspection reveals visible fruit rot occurs quickly infection,Neem oil
Bacterial_spot,farmer complains clear leaf edge become ragged torn rapid infected fruit appears pitted rough severe tiny dark speck appear young leaf,Sulfur spray
Early_blight,field observation show sudden brown patch coalesce larger necrotic area notable lesion enlarge warm humid weather,Neem oil
Bacterial_spot,visual check indicates severe leaf develop yellow halo around spot clear lower leaf drop prematurely,Biological predators
Bacterial_spot,inspection reveals severe bacterial ooze may visible moist condition sporadic leaf edge turn brown crack clear new growth appears stunted distorted,Biological predators
Tomato_mosaic_virus,agronomist note severe fruit show irregular color pattern notable leaflet may become fernlike narrow,Biological predators
healthy,sudden sign wilting discoloration,No pesticide needed
Late_blight,according grower rapid infected area emit musty odor clear white mold may appear leaf underside severe large irregular brown patch appear leaf,Neem oil
Tomato_YellowLeaf_Curl_Virus,visual check indicates visible flower often drop without fruit setting sporadic vein become thick prominent sudden virus spread via whitefly rapidly,Horticultural oil
Bacterial_spot,farmer complains rapid infected fruit appears pitted rough moderate tiny dark speck appear young leaf,Sulfur spray
Septoria_leaf_spot,farmer complains slight tiny dark speck appear pale center,Neem oil
healthy,farmer complains sporadic plant canopy full evenly spaced notable surface remain free lesion mold extensive leaf look vibrant green smooth texture,No pesticide needed
Late_blight,field observation show severe edge lesion appear watersoaked greasy,Sulfur spray
Late_blight,agronomist note moderate white mold may appear leaf underside clear fruit develop firm dark lesion greasy texture,Neem oil
Early_blight,slight leaf yellow around brown lesion moderate brown patch coalesce larger necrotic area extensive lower leaf drop prematurely stress,Neem oil
Bacterial_spot,according grower sporadic warm weather accelerates disease spread notable infected fruit appears pitted rough,Sulfur spray
Bacterial_spot,according grower slight lesion become angular watersoaked rapid leaf edge turn brown crack moderate new growth appears stunted distorted,Biological predators
Spider_mites_Two_spotted_spider_mite,field observation show moderate plant vigor decline noticeably slight fruit development may stunted extensive mite thrive hot dry condition,Sulfur spray
Target_Spot,visual check indicates rapid spot develop yellow halo expand extensive small dark lesion appear lower leaf extensive leaf show circular irregular necrotic area,Bacillus subtilis
Leaf_Mold,inspection reveals rapid edge leaf become brown dry moderate disease thrives high humidity poor airflow,Sulfur spray
healthy,according grower slight plant stand tall vigorous,No pesticide needed
healthy,field observation show moderate plant show sign stress pest sudden unusual odor detected field,No pesticide needed
healthy,rapid leaf edge remain intact smooth sudden stem firm unblemished notable growth appears vigorous steady,No pesticide needed
healthy,sporadic fruit develop evenly blemish sporadic leaf look lush green glossy surface rapid plant stand tall vigorous,No pesticide needed
Spider_mites_Two_spotted_spider_mite,inspection reveals sudden leaf surface feel dry rough slight leaf turn bronze curl,Sulfur spray
Leaf_Mold,farmer report slight disease thrives high humidity poor airflow,Sulfur spray
Bacterial_spot,agronomist note slight new growth appears stunted distorted,Biological predators
Leaf_Mold,farmer complains extensive lower leaf affected first visible edge leaf become brown dry clear underside develop fuzzy white olive mold,Sulfur spray
Spider_mites_Two_spotted_spider_mite,field observation show slight fine yellow dust may visible foliage slight webbing may visible leaf stem,Sulfur spray
Spider_mites_Two_spotted_spider_mite,agronomist note clear fruit development may stunted clear leaf turn bronze curl rapid webbing may visible leaf stem,Sulfur spray
Target_Spot,inspection reveals moderate spot prominent humid condition,Bacillus subtilis
Bacterial_spot,agronomist note moderate plant growth becomes stunted uneven sudden brown streak may appear stem notable tiny dark speck appear young leaf,Sulfur spray
Early_blight,visual check indicates notable severe case cause significant leaf loss,Neem oil
healthy,visual check indicates severe leaf look lush green glossy surface slight stem remain firm robust extensive plant stand tall vigorous,No pesticide needed
healthy,according grower moderate stem remain firm robust,No pesticide needed
Late_blight,inspection reveals sudden large brown blotch develop rapidly leaf,Sulfur spray
Late_blight,field observation show visible leaf become limp collapse suddenly sporadic stem show brown streak near soil level,Sulfur spray
Late_blight,according grower moderate whole field appear scorched dead sporadic lesion spread quickly cool wet weather rapid large brown blotch develop rapidly leaf,Sulfur spray
Late_blight,farmer complains clear infected area emit musty odor moderate stem turn brown brittle,Neem oil
healthy,inspection reveals clear plant show sign stress pest extensive healthy foliage cover soil evenly,No pesticide needed
Target_Spot,according grower visible spot prominent humid condition sudden affected area appear sunken dry,Bacillus subtilis
Leaf_Mold,field observation show sporadic yellow patch appear upper leaf surface visible plant growth slows noticeably,Sulfur spray
Septoria_leaf_spot,farmer report clear tiny dark speck appear pale center,Neem oil
Late_blight,field observation show extensive blight odor noticeable severe infection,Sulfur spray
healthy,inspection reveals clear plant appear free pest disease extensive stem remain firm robust notable spot discoloration leaf,No pesticide needed
Tomato_mosaic_virus,inspection reveals extensive fruit show irregular color pattern visible leaf may appear leathery sporadic leaflet may become fernlike narrow,Biological predators
Early_blight,visible severe case cause significant leaf loss,Neem oil
Early_blight,field observation show sporadic plant vigor decrease time slight yellowing appears around brown lesion,Horticultural oil
Bacterial_spot,farmer report rapid plant growth becomes stunted uneven,Sulfur spray
Early_blight,visual check indicates sudden dark concentric ring form lower leaf,Horticultural oil
healthy,farmer report visible fruit develop bright color firm wall slight visible blemish leaf stem moderate stem appear firm upright,No pesticide needed
Early_blight,field observation show severe leaf yellow around brown lesion,Neem oil
Tomato_mosaic_virus,according grower slight growth appears stunted twisted visible leaflet may become fernlike narrow clear symptom worsen high light condition,Biological predators
Target_Spot,field observation show visible leaf look scorched burnt edge clear severe infection lead premature leaf drop,Bacillus subtilis
healthy,farmer report sporadic plant appear free pest disease extensive sign curling wilting,No pesticide needed
Bacterial_spot,agronomist note extensive new growth appears stunted distorted,Biological predators
healthy,sporadic stem firm unblemished,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,agronomist note slight fruit production decrease sharply slight young leaf curl upward turn yellow,Horticultural oil
Tomato_mosaic_virus,agronomist note moderate growth appears stunted twisted clear leaflet may become fernlike narrow,Biological predators
Bacterial_spot,agronomist note slight lower leaf drop early stress,Sulfur spray
healthy,farmer complains notable unusual wilting curling leaf,No pesticide needed
Septoria_leaf_spot,inspection reveals clear lower leaf drop early season clear stem remain largely unaffected extensive plant look generally stressed,Neem oil
healthy,agronomist note sudden plant stand tall vigorous,No pesticide needed
Leaf_Mold,field observation show notable yellow patch appear upper leaf surface slight lesion merge large yellow area,Sulfur spray
Spider_mites_Two_spotted_spider_mite,field observation show sporadic fine yellow dust may visible foliage notable leaf surface feel dry rough rapid fruit development may stunted,Sulfur spray
Tomato_mosaic_virus,farmer complains clear fruit show irregular color pattern sporadic leaflet may become fernlike narrow slight growth appears stunted twisted,Biological predators
Bacterial_spot,inspection reveals clear lesion become angular watersoaked,Biological predators
Late_blight,agronomist note severe blight odor noticeable severe infection,Sulfur spray
healthy,moderate sign wilting discoloration,No pesticide needed
Spider_mites_Two_spotted_spider_mite,inspection reveals extensive fine yellow dust may visible foliage,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,according grower slight flower often drop without fruit setting slight virus spread via whitefly rapidly sporadic leaf edge show bright yellow coloring,Horticultural oil
healthy,inspection reveals sudden sign curling wilting extensive flower appear healthy plentiful visible fruit develop evenly blemish,No pesticide needed
healthy,field observation show slight leaf edge remain intact smooth notable plant maintain strong upright growth,No pesticide needed
Bacterial_spot,farmer report visible lower leaf drop early stress rapid brown streak may appear stem,Sulfur spray
Tomato_mosaic_virus,inspection reveals moderate fruit show irregular color pattern moderate symptom worsen high light condition,Biological predators
Bacterial_spot,according grower extensive infected fruit show raised scabby lesion sporadic leaf edge turn brown crack rapid lesion become angular watersoaked,Biological predators
healthy,inspection reveals extensive growth appears vigorous balanced visible plant canopy full evenly spaced sudden overall appearance robust lush,No pesticide needed
Spider_mites_Two_spotted_spider_mite,severe leaf appear stippled pale spot moderate leaf surface feel dry rough slight fine yellow dust may visible foliage,Sulfur spray
Early_blight,farmer report sporadic dark spot sometimes appear stem rapid foliage appears scorched curled extensive brown patch coalesce larger necrotic area,Neem oil
Late_blight,field observation show severe leaf collapse suddenly without warning visible infected area emit musty odor,Neem oil
Leaf_Mold,agronomist note clear edge leaf become brown dry sporadic fruit development may reduced visible underside develop fuzzy white olive mold,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,farmer report extensive leaf edge show bright yellow coloring clear growth becomes stunted bushy slight leaf appear crumpled thickened,Horticultural oil
Bacterial_spot,visual check indicates severe spot sometimes merge larger dead area,Biological predators
Tomato_mosaic_virus,according grower moderate leaflet may become fernlike narrow sudden symptom worsen high light condition,Biological predators
Tomato_mosaic_virus,agronomist note slight overall plant vigor decrease slight leaf may appear leathery,Biological predators
Bacterial_spot,sporadic warm wet weather increase disease spread rapid tiny dark spot appear young leaf,Biological predators
Leaf_Mold,field observation show extensive leaf curl become brittle notable disease thrives high humidity poor airflow,Sulfur spray
Septoria_leaf_spot,visual check indicates notable growth appears patchy across field slight stem remain largely unaffected notable yellow halo surround small lesion,Neem oil
Late_blight,farmer report slight lesion spread quickly cool wet weather clear white fungal growth may appear humid condition,Sulfur spray
healthy,farmer report clear sign wilting discoloration,No pesticide needed
Early_blight,visual check indicates clear leaf yellow around brown lesion sporadic affected plant exhibit reduced tuber size extensive lesion enlarge warm humid weather,Neem oil
healthy,inspection reveals moderate fruit develop evenly blemish extensive sign curling wilting visible leaf look lush green glossy surface,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,agronomist note sudden flower often drop without fruit setting,Horticultural oil
Late_blight,inspection reveals moderate white fungal growth may appear humid condition severe leaf become limp collapse suddenly clear new leaf become infected almost overnight,Sulfur spray
Spider_mites_Two_spotted_spider_mite,agronomist note notable fine yellow dust may visible foliage sudden infested leaf drop prematurely moderate infestation begin lower leaf,Sulfur spray
Late_blight,field observation show slight large irregular brown patch appear leaf severe edge lesion look watersoaked notable leaf collapse suddenly without warning,Neem oil
Spider_mites_Two_spotted_spider_mite,field observation show visible leaf appear stippled pale spot,Sulfur spray
Late_blight,according grower sudden white mold may appear leaf underside sporadic fruit develop firm dark lesion greasy texture severe cool moist weather promotes rapid spread,Neem oil
Target_Spot,according grower sudden spot prominent humid condition,Bacillus subtilis
Tomato_mosaic_virus,field observation show severe leaflet may become fernlike narrow sudden virus spread easily plant contact,Biological predators
Tomato_YellowLeaf_Curl_Virus,slight leaf appear crumpled thickened sporadic virus spread via whitefly rapidly,Horticultural oil
healthy,visual check indicates clear leaf look lush green glossy surface,No pesticide needed
Early_blight,visual check indicates sudden affected plant exhibit reduced tuber size,Neem oil
Leaf_Mold,farmer report sudden leaf curl become brittle,Sulfur spray
Bacterial_spot,according grower severe lesion become raised scabby fruit sporadic lower leaf drop early stress,Sulfur spray
Spider_mites_Two_spotted_spider_mite,according grower slight mite thrive hot dry condition,Sulfur spray
Bacterial_spot,inspection reveals clear spot enlarge develop yellow halo severe plant growth becomes stunted uneven notable lower leaf drop early stress,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,farmer report clear leaf appear crumpled thickened sudden internode shorten dramatically clear vein become thick prominent,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,notable flower often drop without fruit setting,Horticultural oil
healthy,extensive spot discoloration leaf extensive stem remain firm robust,No pesticide needed
healthy,field observation show visible flower appear healthy plentiful visible sign curling wilting,No pesticide needed
Early_blight,visual check indicates sporadic stem may show sunken brown streak,Horticultural oil
healthy,according grower moderate visible blemish leaf stem,No pesticide needed
Early_blight,visual check indicates extensive leaf yellow around brown lesion visible severe case cause significant leaf loss,Neem oil
Septoria_leaf_spot,visible yellow halo surround small lesion visible stem remain largely unaffected extensive growth appears patchy across field,Neem oil
Septoria_leaf_spot,agronomist note severe spot remain le ⅛ inch diameter notable spot increase rapidly wet condition extensive stem remain largely unaffected,Neem oil
Late_blight,farmer report moderate blight odor noticeable severe infection notable stem show brown streak near soil level,Sulfur spray
Target_Spot,agronomist note clear spot develop yellow halo expand,Bacillus subtilis
healthy,agronomist note extensive unusual odor detected field sudden growth appears vigorous steady rapid sign wilting discoloration,No pesticide needed
Early_blight,farmer complains visible dark concentric ring form lower leaf visible leaf edge appear scorched curled slight overall growth appears stunted,Horticultural oil
healthy,slight growth appears vigorous balanced,No pesticide needed
Bacterial_spot,farmer complains moderate infected fruit show raised scabby lesion severe leaf develop yellow halo around spot clear tiny dark spot appear young leaf,Biological predators
Early_blight,farmer complains clear spot expand warm humid weather,Horticultural oil
Early_blight,inspection reveals slight overall growth appears stunted slight leaf edge appear scorched curled visible older leaf show symptom first,Horticultural oil
Spider_mites_Two_spotted_spider_mite,according grower sudden plant vigor decline noticeably rapid fruit development may stunted slight mite thrive hot dry condition,Sulfur spray
Tomato_mosaic_virus,visual check indicates sporadic symptom worsen high light condition,Biological predators
Bacterial_spot,field observation show severe infected fruit show raised scabby lesion extensive leaf develop yellow halo around spot moderate tiny dark spot appear young leaf,Biological predators
Spider_mites_Two_spotted_spider_mite,field observation show moderate fruit development may stunted notable fine yellow dust may visible foliage,Sulfur spray
Target_Spot,farmer complains sudden spot develop yellow halo expand clear severe infection lead premature leaf drop visible lesion coalesce large blighted zone,Bacillus subtilis
Early_blight,farmer complains sudden overall growth appears stunted notable leaf drop prematurely stress,Horticultural oil
Target_Spot,visual check indicates rapid severe infection lead premature leaf drop rapid lesion coalesce large blighted zone slight small dark lesion appear lower leaf,Bacillus subtilis
Spider_mites_Two_spotted_spider_mite,visual check indicates sudden leaf turn bronze curl clear fine yellow dust may visible foliage,Sulfur spray
Late_blight,severe large brown blotch develop rapidly leaf visible leaf become limp collapse suddenly extensive new leaf become infected almost overnight,Sulfur spray
Bacterial_spot,field observation show severe lower leaf drop prematurely,Biological predators
Septoria_leaf_spot,inspection reveals visible growth appears patchy across field,Neem oil
Leaf_Mold,according grower rapid lesion merge large yellow area,Sulfur spray
Early_blight,farmer complains notable plant vigor decrease time slight yellowing appears around brown lesion rapid leaf edge appear scorched curled,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,field observation show slight vein become thick prominent,Horticultural oil
healthy,inspection reveals moderate flower appear healthy plentiful clear fruit develop evenly blemish,No pesticide needed
healthy,field observation show visible plant stand tall vigorous severe flower appear healthy plentiful,No pesticide needed
healthy,farmer complains clear sign curling wilting,No pesticide needed
Late_blight,field observation show severe leaf collapse suddenly without warning clear edge lesion look watersoaked extensive cool moist weather promotes rapid spread,Neem oil
Target_Spot,inspection reveals notable leaf show circular irregular necrotic area severe growth appears stunted patchy foliage severe lesion coalesce large blighted zone,Bacillus subtilis
Late_blight,inspection reveals visible leaf become limp collapse suddenly slight stem show brown streak near soil level moderate blight odor noticeable severe infection,Sulfur spray
healthy,field observation show slight growth appears vigorous steady slight sign wilting discoloration,No pesticide needed
Late_blight,clear large brown blotch develop rapidly leaf,Sulfur spray
Spider_mites_Two_spotted_spider_mite,visual check indicates visible leaf turn bronze curl clear webbing may visible leaf stem visible leaf surface feel dry rough,Sulfur spray
Bacterial_spot,field observation show clear bacterial ooze may visible moist condition,Biological predators
Leaf_Mold,farmer report extensive leaf develop musty odor visible plant growth slows noticeably,Sulfur spray
Bacterial_spot,visual check indicates sporadic leaf develop yellow halo around spot,Biological predators
Septoria_leaf_spot,visual check indicates sudden growth appears patchy across field,Neem oil
Late_blight,farmer report notable blight odor noticeable severe infection moderate whole field appear scorched dead,Sulfur spray
Early_blight,farmer report slight brown patch coalesce larger necrotic area clear affected plant exhibit reduced tuber size sudden severe case cause significant leaf loss,Neem oil
healthy,farmer complains visible leaf edge remain intact smooth notable tuber development appears uniform healthy,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,farmer complains slight virus spread via whitefly rapidly,Horticultural oil
Bacterial_spot,slight lower leaf drop prematurely rapid tiny dark spot appear young leaf rapid new growth appears stunted distorted,Biological predators
Bacterial_spot,field observation show sporadic warm wet weather increase disease spread sudden leaf develop yellow halo around spot,Biological predators
Bacterial_spot,agronomist note extensive lower leaf drop early stress clear warm weather accelerates disease spread sporadic tiny dark speck appear young leaf,Sulfur spray
Early_blight,visual check indicates sporadic yellowing appears around brown lesion rapid overall growth appears stunted,Horticultural oil
Late_blight,farmer complains rapid lesion spread quickly cool wet weather moderate infected tuber show dark firm patch beneath skin,Sulfur spray
Early_blight,agronomist note rapid spot expand warm humid weather clear yellowing appears around brown lesion,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,severe virus spread via whitefly rapidly notable vein become thick prominent extensive fruit production decrease sharply,Horticultural oil
Septoria_leaf_spot,visual check indicates moderate spot remain le ⅛ inch diameter severe stem remain largely unaffected slight spot increase rapidly wet condition,Neem oil
Bacterial_spot,inspection reveals visible lower leaf drop prematurely visible tiny dark spot appear young leaf clear warm wet weather increase disease spread,Biological predators
Bacterial_spot,inspection reveals sudden leaf edge become ragged torn notable brown streak may appear stem rapid spot may merge larger dead zone,Sulfur spray
Early_blight,field observation show rapid lesion enlarge warm humid weather,Neem oil
Bacterial_spot,according grower extensive lesion become raised scabby fruit,Sulfur spray
Bacterial_spot,inspection reveals sudden spot sometimes merge larger dead area moderate tiny dark spot appear young leaf,Biological predators
healthy,inspection reveals sporadic surface remain free lesion mold,No pesticide needed
Early_blight,visual check indicates notable yellowing appears around brown lesion sudden leaf drop prematurely stress,Horticultural oil
Early_blight,farmer report severe leaf drop prematurely stress,Horticultural oil
Leaf_Mold,according grower sporadic fruit development may reduced severe underside develop fuzzy white olive mold clear disease thrives high humidity poor airflow,Sulfur spray
healthy,inspection reveals notable plant show sign stress pest sudden plant maintain strong upright growth,No pesticide needed
Septoria_leaf_spot,inspection reveals visible plant look generally stressed sudden spot remain le ⅛ inch diameter,Neem oil
Target_Spot,farmer report sporadic lesion coalesce large blighted zone notable small dark lesion appear lower leaf notable affected area appear sunken dry,Bacillus subtilis
Early_blight,visual check indicates rapid leaf edge appear scorched curled moderate overall growth appears stunted,Horticultural oil
Bacterial_spot,field observation show extensive spot may merge larger dead zone sudden leaf edge become ragged torn,Sulfur spray
Late_blight,inspection reveals slight stem show brown streak near soil level sudden large brown blotch develop rapidly leaf sporadic new leaf become infected almost overnight,Sulfur spray
Late_blight,according grower moderate fruit develop firm dark lesion greasy texture moderate stem turn brown brittle,Neem oil
healthy,inspection reveals visible surface remain free lesion mold rapid unusual wilting curling leaf,No pesticide needed
Bacterial_spot,visible leaf edge become ragged torn moderate warm weather accelerates disease spread,Sulfur spray
Spider_mites_Two_spotted_spider_mite,inspection reveals notable infestation begin lower leaf clear leaf appear stippled pale spot notable leaf surface feel dry rough,Sulfur spray
Septoria_leaf_spot,according grower clear severe infection reduce fruit yield moderate leaf become thin sparse moderate stem remain largely unaffected,Neem oil
Early_blight,notable stem may show sunken brown streak extensive yellowing appears around brown lesion,Horticultural oil
Early_blight,according grower rapid affected plant exhibit reduced tuber size severe foliage appears scorched curled extensive dark spot sometimes appear stem,Neem oil
Early_blight,agronomist note slight overall growth appears stunted visible spot expand warm humid weather visible leaf edge appear scorched curled,Horticultural oil
Septoria_leaf_spot,inspection reveals sudden growth appears patchy across field sporadic plant look generally stressed,Neem oil
Early_blight,clear dark spot sometimes appear stem visible severe case cause significant leaf loss severe leaf yellow around brown lesion,Neem oil
Early_blight,visual check indicates rapid dark concentric ring form lower leaf,Horticultural oil
Bacterial_spot,according grower sporadic lower leaf drop early stress extensive spot may merge larger dead zone,Sulfur spray
Early_blight,according grower clear leaf drop prematurely stress,Horticultural oil
Bacterial_spot,farmer complains slight leaf edge become ragged torn notable brown streak may appear stem rapid tiny dark speck appear young leaf,Sulfur spray
Late_blight,slight edge lesion appear watersoaked greasy clear white fungal growth may appear humid condition,Sulfur spray
Target_Spot,field observation show slight small dark lesion appear lower leaf notable spot develop yellow halo expand,Bacillus subtilis
Early_blight,inspection reveals rapid lesion enlarge warm humid weather slight lower leaf drop prematurely stress notable foliage appears scorched curled,Neem oil
healthy,farmer report extensive growth appears vigorous steady slight leaf lush green visible spot,No pesticide needed
Early_blight,inspection reveals rapid leaf edge appear scorched curled moderate older leaf show symptom first,Horticultural oil
Early_blight,field observation show extensive severe case cause significant leaf loss sudden brown patch coalesce larger necrotic area,Neem oil
Late_blight,rapid fruit rot occurs quickly infection,Neem oil
healthy,farmer complains severe stem firm unblemished moderate plant maintain strong upright growth notable tuber development appears uniform healthy,No pesticide needed
Bacterial_spot,visual check indicates sporadic spot enlarge develop yellow halo,Sulfur spray
Early_blight,sporadic foliage appears scorched curled notable leaf yellow around brown lesion,Neem oil
Tomato_YellowLeaf_Curl_Virus,inspection reveals extensive internode shorten dramatically extensive leaf edge show bright yellow coloring slight growth becomes stunted bushy,Horticultural oil
healthy,field observation show severe plant canopy full evenly spaced sudden unusual wilting curling leaf severe leaf look vibrant green smooth texture,No pesticide needed
